"ASV_16S_199"	13	16	56	44	19	39	22	60	63	54	19	0	107	55	11	103	93	250	60	0	126	95	168	226	41	102	729	494	815	661	305	19	207	672	583	335	450	852	281	139	334	26	215	128	9	530	63	37	13	32	195	25	85	0	15	7	27	195	19	119	64	31	69	227	134	196	94	89	53	23	0	0	5	59	68	63	68	29	17	24	27
"ASV_16S_296"	7	19	20	21	612	44	114	38	16	65	10	47	0	414	6	46	34	47	283	7	38	12	3	58	28	112	23	0	0	0	0	0	18	7	0	8	6	2	10	3	8	2	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	28	0	51	546	120	0	54	18	31	56	0	67	2131	356	153	0	83	38	236	155	339	47	273	0
"ASV_16S_319"	4	22	43	87	0	9	0	0	6	7	16	0	5	5	0	12	0	10	4	0	13	38	8	5	0	8	45	30	29	58	18	39	14	34	26	26	19	24	105	59	92	8	95	57	22	80	11	32	30	19	48	16	65	11	22	9	24	39	0	33	10	33	12	36	106	76	23	28	5	11	0	0	0	20	0	9	6	2	5	0	26
"ASV_16S_378"	8	6	38	57	0	2	0	0	0	3	21	0	9	0	0	7	0	30	2	14	11	129	19	13	5	0	243	188	310	401	90	16	55	122	141	49	88	227	136	113	104	28	247	53	0	78	9	21	9	4	30	20	57	15	3	0	20	76	8	32	0	0	8	75	128	99	27	77	5	0	0	0	5	23	15	9	15	0	0	0	17
"ASV_16S_423"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	4	0	0	0	0	0	0	0	0	0	328	350	0	29	225	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_16S_450"	0	3	19	0	20	17	0	51	8	18	14	40	25	23	0	83	94	191	49	11	74	72	119	157	67	70	141	124	11	25	78	7	39	0	9	45	0	53	44	89	46	11	139	21	0	14	0	9	0	10	0	10	32	11	0	7	0	12	5	31	0	15	5	0	66	34	29	43	22	11	15	3	0	42	39	107	44	6	18	19	0
"ASV_16S_508"	2	15	13	0	26	9	12	47	2	46	30	82	0	21	10	24	35	54	72	27	90	7	33	51	56	59	26	14	65	44	4	18	0	22	18	14	7	12	15	19	7	9	29	0	0	0	0	10	0	0	3	0	0	0	0	2	3	13	0	4	96	63	2	96	23	38	0	34	75	542	42	22	0	239	66	407	190	135	61	82	16
"ASV_16S_606"	0	0	0	0	48	100	34	53	7	21	2	6	0	12	35	13	67	40	2	30	0	0	7	0	0	8	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	33	0	4	136	0	0	0	0	4	0	2	0	0	57	56	47	25	37	33	0	6
"ASV_16S_661"	0	0	3	3	48	0	8	0	0	8	0	3	0	0	0	61	191	0	9	0	78	6	0	0	19	3	0	0	0	0	13	0	4	62	18	3	5	8	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	14	0	4	0	0	0	0	0	456	24	0	0	3	0	0	0	18	4	0	6
"ASV_16S_756"	2	0	0	0	0	20	0	0	0	0	0	0	0	0	11	0	49	27	0	13	0	0	7	40	16	27	33	18	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	3	0	0	55	0	16	0	8	0	0	0	0	0	18	92	62	55	0	0	0	0
"ASV_16S_806"	0	8	14	21	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	7	0	0	0	0	0	6	17	56	0	24	0	10	23	11	0	7	0	0	0	0	6	0	20	0	0	3	0	8	0	3	0	15	4	6	14	28	8	8	0	0	0	0	0	0	0	0	0	0	7	0	6
